master,pair,station,lagtime,coefficient,phase,ttmaster,ttpair,dt
414,518,NIL10,-0.003816612,0.528320193,P,3.46,3.71,0.25
414,518,SIL03,-0.074425472,0.749941248,P,2.28,2.28,0
414,518,SIL07,0.185296399,0.510657581,P,2.24,2.35,0.11
414,518,NIL09,0.111044713,0.552240938,S,2.9,2.65,-0.25
414,518,NIL09,0.119733066,0.631732395,P,4.52,4.41,-0.11
414,518,NIL08,0.000243243,0.717264486,P,2.79,2.78,-0.01
414,518,NIL08,-0.098792097,0.830105795,S,3.05,3.17,0.12
414,518,NIL06,-0.028023377,0.621875015,P,6.34,6.32,-0.02
414,518,NIL03,-0.053199894,0.485959226,P,3.87,3.71,-0.16
414,518,NIL04,0.04293875,0.504513985,S,3.41,3.41,0
414,518,NIL04,0.072915529,0.500971956,P,4.19,3.76,-0.43
414,518,NIL02,-0.074260457,0.564052754,S,2.03,2.03,0
414,518,NIL02,0.0273877,0.518526547,P,2.35,2.28,-0.07
414,524,SIL02,-0.014345743,0.36168178,S,2.17,2.19,0.02
414,524,SIL02,-0.182503911,0.636286967,P,3.69,3.82,0.13
414,524,SIL08,0.116071277,0.471161347,P,2.35,2.31,-0.04
414,524,NIL10,-0.011181192,0.910425105,P,2.03,2.08,0.05
414,524,NIL10,-0.040924932,0.4563507,S,2.19,2.32,0.13
414,524,SIL03,-0.008684395,0.725110266,P,2.52,2.49,-0.03
414,524,NIL08,-0.057672924,0.929867208,S,3.46,3.71,0.25
414,524,NIL08,-0.00755516,0.943428471,P,2.28,2.28,0
414,514,SIL05,-0.167001065,0.548465461,P,2.17,2.19,0.02
414,514,SIL04,-0.075831712,0.465493891,P,3.69,3.82,0.13
414,514,SIL02,-0.086085756,0.3144074,S,2.35,2.31,-0.04
414,514,SIL02,-0.105409122,0.601524755,P,2.03,2.08,0.05
414,514,SIL03,-0.066692436,0.777570803,P,2.19,2.32,0.13
414,514,SIL03,-0.034400043,0.851550292,S,2.52,2.49,-0.03
414,514,SIL08,0.011559235,0.785050083,P,3.46,3.71,0.25
414,514,NIL10,0.034559811,0.438404956,S,2.28,2.28,0
414,514,NIL10,0.003851253,0.90709605,P,2.24,2.35,0.11
414,514,NIL09,-0.028351573,0.598014096,S,2.9,2.65,-0.25
414,514,NIL09,0.176480196,0.61016457,P,4.52,4.41,-0.11
414,514,NIL08,-0.109236623,0.844854045,S,2.79,2.78,-0.01
